entry,domain,angle,center_of_axis_x,center_of_axis_y,center_of_axis_z
s2b,A_domain,98.84,86.88,126.43,135.47
s2b,N_domain,60.11,89.35,106.08,142.46
s2b,P_domain,19.98,120.15,117.76,111.67
s2b,TM1-2,35.41,109.79,117.41,93.87
s2b,TM3-4,27.29,112.00,120.00,106.00
s2b,TM5-6,5.83,114.07,112.89,81.61
s2b,TM7-10,0.02,124.19,106.41,78.75
s1a,A_domain,95.62,73.51,6.77,54.66
s1a,N_domain,55.96,86.17,25.69,62.00
s1a,P_domain,22.23,54.00,36.07,23.00
s1a,TM1-2,37.33,60.49,27.39,10.19
s1a,TM3-4,23.91,56.99,36.52,13.43
s1a,TM5-6,5.97,61.10,33.20,-1.46
s1a,TM7-10,0.18,57.82,38.58,-1.16
spca1Ca,A_domain,84.89,83.09,105.71,64.51
spca1Ca,N_domain,57.59,102.08,95.85,48.55
spca1Ca,P_domain,24.78,103.29,93.55,101.47
spca1Ca,TM1-2,29.61,102.00,106.27,120.34
spca1Ca,TM3-4,16.88,100.32,93.73,110.46
spca1Ca,TM5-6,6.84,98.00,91.00,111.00
spca1Ca,TM7-10,0.00,0.00,0.00,232.37